Date,Weekend,Promotion,Gm#,Tm,Opp,W-L,Rank,GB,D/N,Attendance,Streak
2013-6-2,1,0,56,NYY,BOS,31-25,3,3.0,N,43613,--
2013-6-3,0,1,57,NYY,CLE,32-25,2,2.5,N,40007,+
2013-6-4,0,0,58,NYY,CLE,33-25,2,2.5,N,36208,++
2013-6-5,0,1,59,NYY,CLE,34-25,2,1.5,D,42477,+++
2013-6-19,0,0,70,NYY,LAD,39-31,3,3.5,D,40604,++
2013-6-19,0,0,71,NYY,LAD,39-32,3,3.5,N,41320,-
2013-6-20,0,1,72,NYY,TBR,39-33,3,3.5,N,37649,--
2013-6-21,0,1,73,NYY,TBR,40-33,3,3.5,N,41123,+
2013-6-22,1,1,74,NYY,TBR,41-33,3,2.5,D,46013,++
2013-6-23,1,1,75,NYY,TBR,41-34,3,2.5,D,46054,-
2013-6-25,0,1,76,NYY,TEX,42-34,2,2.5,N,41674,+
2013-6-26,0,0,77,NYY,TEX,42-35,2,3.5,N,38264,-
2013-6-27,0,1,78,NYY,TEX,42-36,3,4.5,D,42138,--
2013-7-5,0,0,86,NYY,BAL,47-39,3,6.0,N,43396,+++++
2013-7-6,1,1,87,NYY,BAL,48-39,2,5.0,D,42678,++++++
2013-7-7,1,0,88,NYY,BAL,48-40,4,5.0,D,40218,-
2013-7-8,0,1,89,NYY,KCR,48-41,4,5.0,N,35057,--
2013-7-9,0,1,90,NYY,KCR,48-42,4,6.0,N,35797,---
2013-7-10,0,1,91,NYY,KCR,49-42,4,6.0,N,35781,+
2013-7-11,0,1,92,NYY,KCR,50-42,4,6.0,D,40381,++
2013-7-12,0,1,93,NYY,MIN,51-42,4,6.0,N,40247,+++
2013-7-13,1,0,94,NYY,MIN,51-43,4,6.0,D,40301,-
2013-7-14,1,0,95,NYY,MIN,51-44,4,6.0,D,43131,--
2013-7-26,0,1,103,NYY,TBR,54-49,4,7.0,N,44486,-
2013-7-27,1,1,104,NYY,TBR,54-50,4,8.0,D,43424,--
